id,date,user,pc,event,process,parent_process,command_line,integrity_level,hour,day_of_week,day_of_month,is_weekend,is_working_hours,is_late_night,is_scripting_tool,is_high_integrity,user_id_mapped
{Q4M5UKUM-TQMZ46YP-8VKD},2025-01-15 16:28:01,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium,16,2,15,0,1,0,0,0,U0000
{FPJAMXFP-WHXQXTHD-YXG5},2025-01-15 15:10:24,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium,15,2,15,0,1,0,0,0,U0000
{I15BWD5T-MU8B961Y-9S93},2025-01-15 12:56:18,allison.hill,PC-5000,process_start,notepad.exe,explorer.exe,notepad.exe,medium,12,2,15,0,1,0,0,0,U0000
{O8BHKKT7-MW5X9AIJ-UNXM},2025-01-15 08:24:33,allison.hill,PC-5000,process_start,acrobat.exe,explorer.exe,acrobat.exe,medium,8,2,15,0,1,0,0,0,U0000
{5AEQDOF4-2HI0VH5Z-C6VG},2025-01-15 08:38:24,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,8,2,15,0,1,0,0,0,U0000
{157DGFZL-0BTXXUIB-FS1Q},2025-01-15 07:53:01,allison.hill,PC-5000,process_start,acrobat.exe,explorer.exe,acrobat.exe,medium,7,2,15,0,1,0,0,0,U0000
{9GGDSHG1-KTC5XPMN-YFAF},2025-01-15 19:22:09,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,19,2,15,0,1,0,0,0,U0000
{CKCPVJZD-HTJKQL6G-D5W6},2025-01-15 07:49:30,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium,7,2,15,0,1,0,0,0,U0000
{EINDMFCV-8QSQNYCB-EGW5},2025-01-15 16:32:22,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,16,2,15,0,1,0,0,0,U0000
{0CHNGR09-06FLQSTC-PVNJ},2025-01-15 16:56:50,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,16,2,15,0,1,0,0,0,U0000
{RLB2MCZ8-FTBZ712O-51D5},2025-01-15 18:43:42,allison.hill,PC-5000,process_start,firefox.exe,explorer.exe,firefox.exe,medium,18,2,15,0,1,0,0,0,U0000
{W1LZXIQ5-50QI4O8Z-6CJE},2025-01-15 11:41:09,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,11,2,15,0,1,0,0,0,U0000
{5Y9NMOBL-SBYYO7UH-B97M},2025-01-16 18:14:45,allison.hill,PC-5000,process_start,word.exe,explorer.exe,word.exe,medium,18,3,16,0,1,0,0,0,U0000
{0VGGI5GN-F3VGZ9P7-M5S5},2025-01-16 13:11:13,allison.hill,PC-5000,process_start,word.exe,explorer.exe,word.exe,medium,13,3,16,0,1,0,0,0,U0000
{3AJQ6ZJU-YZJ0SK3C-85KD},2025-01-16 09:31:23,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,9,3,16,0,1,0,0,0,U0000
{UEXH0GWV-F038NVZR-USPS},2025-01-16 18:15:17,allison.hill,PC-5000,process_start,notepad.exe,explorer.exe,notepad.exe,medium,18,3,16,0,1,0,0,0,U0000
{VYKJ7SF2-NFI77ICE-1O8N},2025-01-16 12:58:43,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,12,3,16,0,1,0,0,0,U0000
{9MKQAW73-C95UZ4PW-9NZQ},2025-01-16 12:34:22,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,12,3,16,0,1,0,0,0,U0000
{9PV383Y8-EAAC78YU-IPA6},2025-01-16 14:13:37,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,14,3,16,0,1,0,0,0,U0000
{JYHP4O1B-34J5QG7L-9JT6},2025-01-16 17:29:23,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,17,3,16,0,1,0,0,0,U0000
{TJ1CJAVU-NKRJWUAI-IHKI},2025-01-16 16:39:06,allison.hill,PC-5000,process_start,explorer.exe,explorer.exe,explorer.exe,medium,16,3,16,0,1,0,0,0,U0000
{1P8MST72-9XZI35JW-XF58},2025-01-16 15:53:41,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,15,3,16,0,1,0,0,0,U0000
{WLHCKOJZ-F84P4LJI-9ICT},2025-01-16 18:38:55,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium,18,3,16,0,1,0,0,0,U0000
{MUU1PKRQ-FR3YM5QS-41YI},2025-01-16 08:20:42,allison.hill,PC-5000,process_start,firefox.exe,explorer.exe,firefox.exe,medium,8,3,16,0,1,0,0,0,U0000
{P5R3P34E-703WGXWU-0CH8},2025-01-16 07:37:08,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium,7,3,16,0,1,0,0,0,U0000
{KJCKBTFV-PTP6DNPW-LEJE},2025-01-16 14:55:56,allison.hill,PC-5000,process_start,explorer.exe,explorer.exe,explorer.exe,medium,14,3,16,0,1,0,0,0,U0000
{51U1Q3ON-I3ZB8973-DWQ3},2025-01-16 12:25:26,allison.hill,PC-5000,process_start,chrome.exe,explorer.exe,chrome.exe,medium,12,3,16,0,1,0,0,0,U0000
{SYABBWF3-W6L96LXT-DREN},2025-01-17 09:17:57,allison.hill,PC-5000,process_start,word.exe,explorer.exe,word.exe,medium,9,4,17,0,1,0,0,0,U0000
{GG02BSZF-L6PCHLLA-B5WL},2025-01-17 16:43:35,allison.hill,PC-5000,process_start,slack.exe,explorer.exe,slack.exe,medium,16,4,17,0,1,0,0,0,U0000
{CV7PM7C6-VQIYF71M-4MB7},2025-01-17 18:06:22,allison.hill,PC-5000,process_start,word.exe,explorer.exe,word.exe,medium,18,4,17,0,1,0,0,0,U0000
{9L78PBE7-AIHYA2DB-0TC2},2025-01-17 14:49:55,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,14,4,17,0,1,0,0,0,U0000
{FQBWHHCE-C8LVV0AT-MKBY},2025-01-17 18:38:10,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium,18,4,17,0,1,0,0,0,U0000
{B6KZJZAP-DD1ORDNT-6GN9},2025-01-17 14:51:51,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,14,4,17,0,1,0,0,0,U0000
{7RUJBS7Q-R424ZQFI-8SGE},2025-01-17 07:04:02,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,7,4,17,0,1,0,0,0,U0000
{WFSPHVAW-S4PH1V9C-ZR4P},2025-01-17 16:31:55,allison.hill,PC-5000,process_start,acrobat.exe,explorer.exe,acrobat.exe,medium,16,4,17,0,1,0,0,0,U0000
{AT0LGCEC-I3KVV5E8-8NTZ},2025-01-20 12:19:40,allison.hill,PC-5000,process_start,chrome.exe,explorer.exe,chrome.exe,medium,12,0,20,0,1,0,0,0,U0000
{M7JLTMQ8-CNJ1SR3F-7WWX},2025-01-20 11:17:37,allison.hill,PC-5000,process_start,word.exe,explorer.exe,word.exe,medium,11,0,20,0,1,0,0,0,U0000
{JA29Z7MA-QY3UYVIT-QR84},2025-01-20 09:31:04,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,9,0,20,0,1,0,0,0,U0000
{LBERCQG6-8SY9CTDK-KQ9E},2025-01-20 19:03:37,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium,19,0,20,0,1,0,0,0,U0000
{TQ6OEA4U-S9X346YV-405V},2025-01-20 18:23:29,allison.hill,PC-5000,process_start,slack.exe,explorer.exe,slack.exe,medium,18,0,20,0,1,0,0,0,U0000
{U6XQALF3-O4VVZMPZ-5NWR},2025-01-20 09:49:45,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,9,0,20,0,1,0,0,0,U0000
{JVRQOYB4-ATCVMNQN-BR3R},2025-01-20 15:52:43,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium,15,0,20,0,1,0,0,0,U0000
{VCMH7JIF-PU2QFYXY-612F},2025-01-20 08:49:16,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,8,0,20,0,1,0,0,0,U0000
{6ZCIKN1G-A88SMVTC-69LM},2025-01-20 16:34:52,allison.hill,PC-5000,process_start,word.exe,explorer.exe,word.exe,medium,16,0,20,0,1,0,0,0,U0000
{NUT1F795-ANOBIJ0Q-K33O},2025-01-21 16:58:13,allison.hill,PC-5000,process_start,chrome.exe,explorer.exe,chrome.exe,medium,16,1,21,0,1,0,0,0,U0000
{ZJK045RO-FG8Q6313-C94L},2025-01-21 09:11:09,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,9,1,21,0,1,0,0,0,U0000
{8RZD9POR-ZOC8V3VF-HFC6},2025-01-21 13:09:11,allison.hill,PC-5000,process_start,explorer.exe,explorer.exe,explorer.exe,medium,13,1,21,0,1,0,0,0,U0000
{YTMWM6VW-4ZVD0HGW-PGFD},2025-01-21 08:42:10,allison.hill,PC-5000,process_start,acrobat.exe,explorer.exe,acrobat.exe,medium,8,1,21,0,1,0,0,0,U0000
{R14IQ9YY-QT61H23O-JXAX},2025-01-21 15:47:56,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium,15,1,21,0,1,0,0,0,U0000
{FD2YQ97A-C41J3W4D-9YLK},2025-01-21 08:51:17,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,8,1,21,0,1,0,0,0,U0000
{J665137S-TUFTVIL9-959G},2025-01-21 19:02:17,allison.hill,PC-5000,process_start,chrome.exe,explorer.exe,chrome.exe,medium,19,1,21,0,1,0,0,0,U0000
{SYU6RDQX-GKJDD0A0-L25L},2025-01-21 11:22:48,allison.hill,PC-5000,process_start,slack.exe,explorer.exe,slack.exe,medium,11,1,21,0,1,0,0,0,U0000
{GDBDQPVF-8HHACL0B-WMB7},2025-01-21 19:31:12,allison.hill,PC-5000,process_start,notepad.exe,explorer.exe,notepad.exe,medium,19,1,21,0,1,0,0,0,U0000
{N58J4FAR-CKSJ3388-P5LJ},2025-01-22 16:55:25,allison.hill,PC-5000,process_start,word.exe,explorer.exe,word.exe,medium,16,2,22,0,1,0,0,0,U0000
{JIDTYIK4-XT83ENMN-IDRK},2025-01-22 16:40:39,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,16,2,22,0,1,0,0,0,U0000
{07UNHPKV-LZ3L81ZP-75YO},2025-01-22 19:47:14,allison.hill,PC-5000,process_start,explorer.exe,explorer.exe,explorer.exe,medium,19,2,22,0,1,0,0,0,U0000
{R93O2NCF-GOPRL1HY-NSP7},2025-01-22 11:06:16,allison.hill,PC-5000,process_start,chrome.exe,explorer.exe,chrome.exe,medium,11,2,22,0,1,0,0,0,U0000
{A820OVLE-GTZU2ZHJ-NHV2},2025-01-22 11:34:07,allison.hill,PC-5000,process_start,notepad.exe,explorer.exe,notepad.exe,medium,11,2,22,0,1,0,0,0,U0000
{WGWBXX6I-AHGHW8O1-6U6O},2025-01-22 13:54:39,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,13,2,22,0,1,0,0,0,U0000
{H5N4AVMA-YWMRGCK9-R83N},2025-01-22 12:17:52,allison.hill,PC-5000,process_start,firefox.exe,explorer.exe,firefox.exe,medium,12,2,22,0,1,0,0,0,U0000
{XP1P26JU-08UZO3DU-0MHO},2025-01-22 16:39:20,allison.hill,PC-5000,process_start,slack.exe,explorer.exe,slack.exe,medium,16,2,22,0,1,0,0,0,U0000
{D88CY6H1-RU1VD89D-OVJH},2025-01-22 14:14:48,allison.hill,PC-5000,process_start,firefox.exe,explorer.exe,firefox.exe,medium,14,2,22,0,1,0,0,0,U0000
{RULHOHQT-MQ9C0V5J-LPV5},2025-01-22 07:31:16,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,7,2,22,0,1,0,0,0,U0000
{EMK7QCH8-POJRROKQ-XGYJ},2025-01-23 09:42:03,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium,9,3,23,0,1,0,0,0,U0000
{NJ5CGF74-98K3WDVR-IU03},2025-01-23 13:21:38,allison.hill,PC-5000,process_start,notepad.exe,explorer.exe,notepad.exe,medium,13,3,23,0,1,0,0,0,U0000
{2764Z5F8-H8Z76GD2-JDUY},2025-01-23 14:08:19,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,14,3,23,0,1,0,0,0,U0000
{Z7VMX9ER-VKA0GHBX-DJ72},2025-01-23 13:45:24,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium,13,3,23,0,1,0,0,0,U0000
{5VF1PAUI-RX58S10G-WR18},2025-01-23 13:03:59,allison.hill,PC-5000,process_start,slack.exe,explorer.exe,slack.exe,medium,13,3,23,0,1,0,0,0,U0000
{4PGTH43E-EGFLME1G-HA46},2025-01-23 11:21:33,allison.hill,PC-5000,process_start,firefox.exe,explorer.exe,firefox.exe,medium,11,3,23,0,1,0,0,0,U0000
{Q1EJOUX8-VEXIZFXO-X7LL},2025-01-23 10:17:03,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,10,3,23,0,1,0,0,0,U0000
{Q0TP4C3F-TJRU3Z4C-JQCJ},2025-01-23 16:24:07,allison.hill,PC-5000,process_start,explorer.exe,explorer.exe,explorer.exe,medium,16,3,23,0,1,0,0,0,U0000
{J1ZPJFAF-MP7O4UUM-PTF0},2025-01-23 13:26:43,allison.hill,PC-5000,process_start,chrome.exe,explorer.exe,chrome.exe,medium,13,3,23,0,1,0,0,0,U0000
{V05K5VPR-KXSV9CTV-AAPO},2025-01-23 17:16:10,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium,17,3,23,0,1,0,0,0,U0000
{TW4ZDNC7-E5WGLIPI-XCXC},2025-01-23 18:03:54,allison.hill,PC-5000,process_start,acrobat.exe,explorer.exe,acrobat.exe,medium,18,3,23,0,1,0,0,0,U0000
{YP7OFSF5-C1AL9SA6-8O2Z},2025-01-24 07:26:52,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,7,4,24,0,1,0,0,0,U0000
{BTB1KN6F-JI2CUI6Z-QQIP},2025-01-24 11:38:34,allison.hill,PC-5000,process_start,acrobat.exe,explorer.exe,acrobat.exe,medium,11,4,24,0,1,0,0,0,U0000
{5OWI84VW-3TVHT4Y9-NFLS},2025-01-24 16:24:26,allison.hill,PC-5000,process_start,word.exe,explorer.exe,word.exe,medium,16,4,24,0,1,0,0,0,U0000
{NIHZADTP-HBUAXL1K-OE6E},2025-01-24 07:13:53,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,7,4,24,0,1,0,0,0,U0000
{NCBIBRST-TKLMXMJ5-M59J},2025-01-24 11:04:42,allison.hill,PC-5000,process_start,explorer.exe,explorer.exe,explorer.exe,medium,11,4,24,0,1,0,0,0,U0000
{0QPRO0D9-WM29TE0L-VB7U},2025-01-24 16:23:52,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,16,4,24,0,1,0,0,0,U0000
{2N0KF8T8-24URHO6R-D6Y7},2025-01-24 14:00:12,allison.hill,PC-5000,process_start,explorer.exe,explorer.exe,explorer.exe,medium,14,4,24,0,1,0,0,0,U0000
{6CZ8JIGL-SK8GTLXO-RF2Q},2025-01-24 11:26:02,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,11,4,24,0,1,0,0,0,U0000
{XMIAJOFE-8LYAMAJ9-BNSA},2025-01-24 18:11:41,allison.hill,PC-5000,process_start,word.exe,explorer.exe,word.exe,medium,18,4,24,0,1,0,0,0,U0000
{4WNXZAAO-GJW3OXHQ-V3PS},2025-01-24 18:41:46,allison.hill,PC-5000,process_start,word.exe,explorer.exe,word.exe,medium,18,4,24,0,1,0,0,0,U0000
{XWSPJCX3-YYFBYMNR-2BSZ},2025-01-24 08:31:53,allison.hill,PC-5000,process_start,slack.exe,explorer.exe,slack.exe,medium,8,4,24,0,1,0,0,0,U0000
{BAU1ZF0S-T5GZ25F3-HYAR},2025-01-24 13:14:59,allison.hill,PC-5000,process_start,acrobat.exe,explorer.exe,acrobat.exe,medium,13,4,24,0,1,0,0,0,U0000
{GOT2J3NF-7HSA2CCG-VW35},2025-01-24 07:28:07,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,7,4,24,0,1,0,0,0,U0000
{NBKWZM0Q-F3H0QZX2-LWGA},2025-01-24 08:19:26,allison.hill,PC-5000,process_start,explorer.exe,explorer.exe,explorer.exe,medium,8,4,24,0,1,0,0,0,U0000
{ZI796UOV-FNUY0A3M-13F8},2025-01-27 07:17:14,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium,7,0,27,0,1,0,0,0,U0000
{MKNGFZSR-V77POKCM-K6MU},2025-01-27 11:24:41,allison.hill,PC-5000,process_start,notepad.exe,explorer.exe,notepad.exe,medium,11,0,27,0,1,0,0,0,U0000
{I4VE7N56-HWUKWNBR-9XM3},2025-01-27 11:56:18,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,11,0,27,0,1,0,0,0,U0000
{PJ1Y3OXI-CE3FDM01-UI5W},2025-01-27 16:48:59,allison.hill,PC-5000,process_start,acrobat.exe,explorer.exe,acrobat.exe,medium,16,0,27,0,1,0,0,0,U0000
{CNH9VV23-1ZFLHEZ8-2OZZ},2025-01-27 17:28:49,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium,17,0,27,0,1,0,0,0,U0000
{6FWHY0A5-L4OXWI4D-DH3G},2025-01-27 14:42:50,allison.hill,PC-5000,process_start,firefox.exe,explorer.exe,firefox.exe,medium,14,0,27,0,1,0,0,0,U0000
{IN5K4TPF-U58GBHW7-RSOB},2025-01-27 08:37:22,allison.hill,PC-5000,process_start,explorer.exe,explorer.exe,explorer.exe,medium,8,0,27,0,1,0,0,0,U0000
