user_id,date,sequence,sequence_length
U0000,2025-01-15,LOGIN -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> FILE_ACCESS -> EMAIL_SEND -> WEB_BROWSE -> EMAIL_SEND -> FILE_ACCESS -> WEB_BROWSE -> FILE_ACCESS -> WEB_BROWSE -> FILE_ACCESS -> EMAIL_SEND -> EMAIL_SEND -> EMAIL_SEND -> WEB_BROWSE -> EMAIL_SEND -> WEB_BROWSE -> FILE_ACCESS -> FILE_ACCESS -> FILE_ACCESS -> LOGOUT -> FILE_ACCESS -> WEB_BROWSE,25
U0000,2025-01-16,EMAIL_SEND -> LOGIN -> FILE_ACCESS -> WEB_BROWSE -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> FILE_ACCESS -> FILE_ACCESS -> FILE_ACCESS -> EMAIL_SEND -> EMAIL_SEND -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> LOGOUT -> FILE_ACCESS -> WEB_BROWSE -> EMAIL_SEND -> EMAIL_SEND,20
U0000,2025-01-17,LOGIN -> FILE_ACCESS -> FILE_ACCESS -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> EMAIL_SEND -> WEB_BROWSE -> FILE_ACCESS -> WEB_BROWSE -> FILE_ACCESS -> WEB_BROWSE -> EMAIL_SEND -> FILE_ACCESS -> EMAIL_SEND -> WEB_BROWSE -> WEB_BROWSE -> FILE_ACCESS -> EMAIL_SEND -> EMAIL_SEND -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> WEB_BROWSE -> FILE_ACCESS -> LOGOUT -> WEB_BROWSE,27
U0000,2025-01-20,LOGIN -> WEB_BROWSE -> FILE_ACCESS -> FILE_ACCESS -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> EMAIL_SEND -> FILE_ACCESS -> WEB_BROWSE -> FILE_ACCESS -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> WEB_BROWSE -> EMAIL_SEND -> FILE_ACCESS -> FILE_ACCESS -> EMAIL_SEND -> WEB_BROWSE -> LOGOUT -> WEB_BROWSE,22
U0000,2025-01-21,LOGIN -> EMAIL_SEND -> FILE_ACCESS -> FILE_ACCESS -> FILE_ACCESS -> FILE_ACCESS -> EMAIL_SEND -> FILE_ACCESS -> WEB_BROWSE -> WEB_BROWSE -> FILE_ACCESS -> FILE_ACCESS -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> EMAIL_SEND -> EMAIL_SEND -> LOGOUT -> EMAIL_SEND,19
U0000,2025-01-22,LOGIN -> EMAIL_SEND -> FILE_ACCESS -> EMAIL_SEND -> WEB_BROWSE -> WEB_BROWSE -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> FILE_ACCESS -> EMAIL_SEND -> FILE_ACCESS -> EMAIL_SEND -> EMAIL_SEND -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> WEB_BROWSE -> LOGOUT -> FILE_ACCESS -> FILE_ACCESS,21
U0000,2025-01-23,LOGIN -> EMAIL_SEND -> FILE_ACCESS -> WEB_BROWSE -> EMAIL_SEND -> WEB_BROWSE -> EMAIL_SEND -> EMAIL_SEND -> WEB_BROWSE -> FILE_ACCESS -> FILE_ACCESS -> FILE_ACCESS -> FILE_ACCESS -> FILE_ACCESS -> EMAIL_SEND -> FILE_ACCESS -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> LOGOUT -> FILE_ACCESS -> EMAIL_SEND,22
U0000,2025-01-24,LOGIN -> FILE_ACCESS -> FILE_ACCESS -> WEB_BROWSE -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> FILE_ACCESS -> WEB_BROWSE -> EMAIL_SEND -> FILE_ACCESS -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> WEB_BROWSE -> EMAIL_SEND -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> LOGOUT,20
U0000,2025-01-27,LOGIN -> WEB_BROWSE -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> WEB_BROWSE -> EMAIL_SEND -> WEB_BROWSE -> FILE_ACCESS -> EMAIL_SEND -> FILE_ACCESS -> EMAIL_SEND -> FILE_ACCESS -> WEB_BROWSE -> WEB_BROWSE -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> FILE_ACCESS -> FILE_ACCESS -> EMAIL_SEND -> LOGOUT -> EMAIL_SEND,23
U0000,2025-01-28,EMAIL_SEND -> LOGIN -> FILE_ACCESS -> FILE_ACCESS -> EMAIL_SEND -> EMAIL_SEND -> WEB_BROWSE -> FILE_ACCESS -> EMAIL_SEND -> WEB_BROWSE -> WEB_BROWSE -> FILE_ACCESS -> WEB_BROWSE -> EMAIL_SEND -> FILE_ACCESS -> FILE_ACCESS -> EMAIL_SEND -> EMAIL_SEND -> FILE_ACCESS -> EMAIL_SEND -> LOGOUT -> FILE_ACCESS,22
