id,date,user,pc,filename,activity,to_removable_media,from_removable_media,content,size,hour,day_of_week,day_of_month,is_weekend,is_working_hours,is_late_night,is_sensitive_folder,is_shared_folder,size_mb,is_large_file,activity_encoded
{3YOSREBK-NKV25UKP-KSZ3},2025-01-15 17:38:28,U0000,PC-5000,/shared/documents/rate.csv,File Write,0,False,Just military building different full open discover detail audience piece director town.,29881,17,2,15,0,1,0,0,1,0.028496742248535156,0,1
{SRNYZRBG-WVNG0GTP-F48T},2025-01-15 19:36:00,U0000,PC-5000,/shared/resources/trade.txt,File Write,0,False,Audience draw protect Democrat car very number line six space couple best.,179073,19,2,15,0,1,0,0,1,0.1707773208618164,0,1
{NWLZA0WU-OWJ09IOG-LACC},2025-01-15 14:15:27,U0000,PC-5000,/shared/resources/lawyer.txt,File Open,0,False,Interest level rock pull worker better I fund technology eat couple large.,134403,14,2,15,0,1,0,0,1,0.12817668914794922,0,0
{B5G9MEGT-IZN1TTKN-4E45},2025-01-15 08:56:59,U0000,PC-5000,/company/policies/knowledge.doc,File Open,0,False,Everything economic type kitchen technology nearly anything yourself structure.,16574,8,2,15,0,1,0,0,1,0.015806198120117188,0,0
{6WDERU2P-COT0NZ2G-8HPI},2025-01-15 11:30:55,U0000,PC-5000,/shared/templates/better.csv,File Write,0,False,Coach magazine degree husband around her world enter six lawyer.,123102,11,2,15,0,1,0,0,1,0.11739921569824219,0,1
{EQ4CYYF6-6X7VJ10P-KTNO},2025-01-15 12:03:09,U0000,PC-5000,/shared/resources/land.doc,File Open,0,False,Product main couple design around save article finish anyone live try most arm meet surface.,104263,12,2,15,0,1,0,0,1,0.09943294525146484,0,0
{KZKA744D-18JQJ0AR-SG8F},2025-01-15 17:59:42,U0000,PC-5000,/shared/templates/authority.pdf,File Open,0,False,Attack technology identify walk now often always bank price north first end prove fire enter capital.,161963,17,2,15,0,1,0,0,1,0.15445995330810547,0,0
{26XF9ZJB-MERNTP3C-ZBAM},2025-01-15 18:42:43,U0000,PC-5000,/shared/documents/quite.docx,File Write,0,False,Lead upon very act perform none beyond Mrs media car give.,127060,18,2,15,0,1,0,0,1,0.12117385864257812,0,1
{JVIH88SU-KE8XO7I8-8MMS},2025-01-15 08:54:07,U0000,PC-5000,/company/policies/authority.docx,File Copy,0,False,Hard citizen street region particularly would pressure account stage federal.,169852,8,2,15,0,1,0,0,1,0.16198348999023438,0,2
{8HS10T7R-XTJN7LDH-TIN9},2025-01-16 15:30:23,U0000,PC-5000,/shared/resources/record.pdf,File Open,0,False,Voice care break blood network evening painting response.,87112,15,3,16,0,1,0,0,1,0.08307647705078125,0,0
{FOKLBQ38-QI5XCPGB-K0UC},2025-01-16 17:19:54,U0000,PC-5000,/shared/templates/Democrat.docx,File Open,0,False,Measure economy traditional anything plant stop analysis four capital woman claim.,162516,17,3,16,0,1,0,0,1,0.15498733520507812,0,0
{FXQP10VW-AZKSWNVM-O4D0},2025-01-16 14:36:14,U0000,PC-5000,/hr/policies/letter.txt,File Write,0,False,Relationship night born war real chance along hard need involve among half value win always.,41840,14,3,16,0,1,0,0,0,0.0399017333984375,0,1
{LPHUIVL9-YH8U9EWO-USOX},2025-01-16 15:11:35,U0000,PC-5000,/hr/onboarding/help.pptx,File Write,0,False,Radio project government nice themselves wind see understand door class.,5561,15,3,16,0,1,0,0,0,0.005303382873535156,0,1
{JVNKYGO3-U1XMM1BH-3TXZ},2025-01-16 12:41:25,U0000,PC-5000,/shared/documents/such.xlsx,File Copy,0,False,Thing agent say forward us soon ten specific environment.,84141,12,3,16,0,1,0,0,1,0.08024311065673828,0,2
{WZ5SMI96-IDV1G0FQ-76SH},2025-01-16 19:29:23,U0000,PC-5000,/shared/documents/store.xlsx,File Write,0,False,Him although likely current truth glass star the.,196163,19,3,16,0,1,0,0,1,0.18707561492919922,0,1
{7DXD9QDA-KG8RHCLQ-9DWC},2025-01-16 07:31:37,U0000,PC-5000,/shared/documents/dog.docx,File Open,0,False,Process huge everything attorney significant go meeting.,132581,7,3,16,0,1,0,0,1,0.12643909454345703,0,0
{5DI4YGE3-VJAD3I2X-FMW5},2025-01-17 17:33:00,U0000,PC-5000,/hr/policies/respond.doc,File Open,0,False,Former agree theory end oil worker although others generation skill job worker break tonight couple.,198044,17,4,17,0,1,0,0,0,0.18886947631835938,0,0
{IQPKNS75-LU6NYT3H-OL1L},2025-01-17 08:37:09,U0000,PC-5000,/company/announcements/another.docx,File Write,0,False,Ability understand Mrs rest score provide hair attorney professional form finish summer rest.,70878,8,4,17,0,1,0,0,1,0.06759452819824219,0,1
{0YVZVASI-754NPUT2-UTCN},2025-01-17 07:59:40,U0000,PC-5000,/shared/documents/first.xlsx,File Write,0,False,Finally impact I fast camera inside wait quality total past feeling nature a expert.,140094,7,4,17,0,1,0,0,1,0.1336040496826172,0,1
{5095YYSW-ZNQ6KTP4-QXL6},2025-01-17 13:43:39,U0000,PC-5000,/company/policies/law.pptx,File Copy,0,False,Parent focus kid put memory soldier where save probably exist professional people behavior weight dog financial.,151487,13,4,17,0,1,0,0,1,0.1444692611694336,0,2
{B3SG02I6-UK1Y7ZPU-OMBI},2025-01-17 14:31:27,U0000,PC-5000,/hr/policies/sure.doc,File Write,0,False,Challenge animal worker particularly shoulder lay though offer responsibility himself.,122207,14,4,17,0,1,0,0,0,0.1165456771850586,0,1
{1F997EIA-L2YV2S59-917V},2025-01-17 15:57:23,U0000,PC-5000,/company/policies/instead.doc,File Copy,0,False,Challenge reach throughout team those sing despite sound receive let.,196003,15,4,17,0,1,0,0,1,0.18692302703857422,0,2
{BSH3BVUC-ZV0PGXC0-ILWU},2025-01-17 12:21:49,U0000,PC-5000,/company/announcements/onto.pdf,File Open,0,False,True building card let most next fish sense kind spring.,163135,12,4,17,0,1,0,0,1,0.1555776596069336,0,0
{TOEZ1FVW-3NJP3948-JPFZ},2025-01-17 14:19:57,U0000,PC-5000,/shared/documents/wait.pptx,File Write,0,False,Interview trade knowledge city technology late seem style everyone sing machine dream key require.,148118,14,4,17,0,1,0,0,1,0.14125633239746094,0,1
{VFXC6I4N-4PCYWSEE-JMV2},2025-01-17 18:49:25,U0000,PC-5000,/shared/templates/easy.xlsx,File Copy,0,False,From throw ball character him check degree increase former letter artist.,7840,18,4,17,0,1,0,0,1,0.007476806640625,0,2
{79FCDTXB-B7N5WRK7-RZ6K},2025-01-20 18:56:02,U0000,PC-5000,/hr/onboarding/there.txt,File Copy,0,False,Hope show watch affect thing offer local wall fear hope through structure Mrs.,160446,18,0,20,0,1,0,0,0,0.1530132293701172,0,2
