id,date,action,src_ip,dst_ip,dst_port,protocol,bytes_out,threat,user,hour,day_of_week,day_of_month,is_weekend,is_working_hours,is_late_night,is_blocked,has_threat
{IIZOHM95-AVELO3AH-9A11},2025-01-15 08:56:08,allow,192.168.1.20,172.217.0.0,53,TCP,39397,,allison.hill,8,2,15,0,1,0,0,0
{XT3NM27L-IZCN61UK-QP0X},2025-01-15 13:36:01,allow,192.168.1.20,8.8.8.8,80,TCP,26584,,allison.hill,13,2,15,0,1,0,0,0
{8K8ZGCK0-BH18PRNC-SB3V},2025-01-15 19:32:35,allow,192.168.1.20,172.217.0.0,53,TCP,33665,,allison.hill,19,2,15,0,1,0,0,0
{M208EUZ3-4N16N460-DI6W},2025-01-15 14:12:23,allow,192.168.1.20,172.217.0.0,80,TCP,46595,,allison.hill,14,2,15,0,1,0,0,0
{EYU28WBA-8DSN1UGZ-NCNF},2025-01-15 15:52:42,allow,192.168.1.20,1.1.1.1,80,TCP,35828,,allison.hill,15,2,15,0,1,0,0,0
{2KNWJ2OR-8X2EJLJ8-MC1U},2025-01-15 18:41:53,allow,192.168.1.20,172.217.0.0,53,TCP,6073,,allison.hill,18,2,15,0,1,0,0,0
{ZQC4ZUEZ-AXD23197-5BTI},2025-01-15 16:07:37,allow,192.168.1.20,1.1.1.1,53,TCP,14418,,allison.hill,16,2,15,0,1,0,0,0
{GFE54CD6-AXLP67R4-HDD9},2025-01-15 19:15:24,allow,192.168.1.20,8.8.8.8,53,TCP,23207,,allison.hill,19,2,15,0,1,0,0,0
{7YL7AFC7-MXCRBY26-6V5Q},2025-01-15 17:07:18,allow,192.168.1.20,1.1.1.1,80,TCP,19548,,allison.hill,17,2,15,0,1,0,0,0
{NVWZGA94-Z4HJTF1K-UKD9},2025-01-15 12:20:51,allow,192.168.1.20,8.8.8.8,80,TCP,3083,,allison.hill,12,2,15,0,1,0,0,0
{6HL3LE96-IKAJ0W1Z-E4DQ},2025-01-15 18:38:48,allow,192.168.1.20,172.217.0.0,53,TCP,52902,,allison.hill,18,2,15,0,1,0,0,0
{BKJCCIX1-KGPPOKV0-WXHM},2025-01-15 18:26:21,block,192.168.1.20,219.76.60.19,135,TCP,4864,geo_blocked,allison.hill,18,2,15,0,1,0,1,1
{9KAVR4HC-LDC629VI-9F3H},2025-01-15 13:46:29,allow,192.168.1.20,8.8.8.8,80,TCP,51986,,allison.hill,13,2,15,0,1,0,0,0
{B97KV712-DQVJMAL4-15K2},2025-01-15 16:57:53,allow,192.168.1.20,8.8.8.8,53,TCP,46046,,allison.hill,16,2,15,0,1,0,0,0
{5VF0T46D-8GN73EBM-WW5U},2025-01-15 18:29:53,allow,192.168.1.20,172.217.0.0,80,TCP,27250,,allison.hill,18,2,15,0,1,0,0,0
{WAFFA2HT-VZVDYQIY-QSG5},2025-01-15 12:46:44,allow,192.168.1.20,8.8.8.8,53,TCP,30480,,allison.hill,12,2,15,0,1,0,0,0
