id,date,user,pc,activity,source_ip,status,hour,day_of_week,day_of_month,is_weekend,is_working_hours,is_late_night,is_failed_login,is_external_ip,is_logoff
{WIRE8QJN-V8Z2FLU7-U6N7},2025-01-15 07:53:01,U0000,PC-5000,Logon,192.168.1.20,Success,7,2,15,0,1,0,0,0,0
{V3IZKY22-UBTXCXAP-RPN6},2025-01-15 19:12:04,U0000,PC-5000,Logoff,192.168.1.20,Success,19,2,15,0,1,0,0,0,1
{FGSXW71Q-3VLI7KQ1-UYMR},2025-01-16 07:29:45,U0000,PC-5000,Logon,192.168.1.20,Success,7,3,16,0,1,0,0,0,0
{RMJKV5US-GIOTIRZQ-AKOI},2025-01-16 19:20:11,U0000,PC-5000,Logoff,192.168.1.20,Success,19,3,16,0,1,0,0,0,1
{NTM9TMQL-IZL08YG0-JV1V},2025-01-17 07:42:37,U0000,PC-5000,Logon,192.168.1.20,Success,7,4,17,0,1,0,0,0,0
{GIGATJ9T-ZE5R5UQP-GB7R},2025-01-17 19:06:53,U0000,PC-5000,Logoff,192.168.1.20,Success,19,4,17,0,1,0,0,0,1
{WBFUK9E1-V2ISQP49-KWV0},2025-01-20 07:04:36,U0000,PC-5000,Logon,192.168.1.20,Success,7,0,20,0,1,0,0,0,0
{WJCITFOY-QBKK4CIJ-2V2H},2025-01-20 19:48:13,U0000,PC-5000,Logoff,192.168.1.20,Success,19,0,20,0,1,0,0,0,1
{IFJFC2V3-7PQKOJTP-V60V},2025-01-21 07:07:34,U0000,PC-5000,Logon,192.168.1.20,Success,7,1,21,0,1,0,0,0,0
{IY4VA13U-1GSPK9P3-8QOL},2025-01-21 19:01:05,U0000,PC-5000,Logoff,192.168.1.20,Success,19,1,21,0,1,0,0,0,1
{FORXO1BD-JE153A5Q-BSWR},2025-01-22 07:06:54,U0000,PC-5000,Logon,192.168.1.20,Success,7,2,22,0,1,0,0,0,0
{BJEK5RBW-2ZLAOI4E-8XF7},2025-01-22 19:28:48,U0000,PC-5000,Logoff,192.168.1.20,Success,19,2,22,0,1,0,0,0,1
{ZORQQFGV-0EC14M2J-A04U},2025-01-23 07:18:32,U0000,PC-5000,Logon,192.168.1.20,Success,7,3,23,0,1,0,0,0,0
{5QRL1N75-9IN4OLR6-N92X},2025-01-23 19:42:31,U0000,PC-5000,Logoff,192.168.1.20,Success,19,3,23,0,1,0,0,0,1
{8E8LD4D6-AF58C2JW-OCLY},2025-01-24 07:09:31,U0000,PC-5000,Logon,192.168.1.20,Success,7,4,24,0,1,0,0,0,0
{8W5RTWIY-KID91ZDF-KBLC},2025-01-24 19:34:24,U0000,PC-5000,Logoff,192.168.1.20,Success,19,4,24,0,1,0,0,0,1
{OYGGVNYR-UIWQY6QK-TC89},2025-01-27 07:15:33,U0000,PC-5000,Logon,192.168.1.20,Success,7,0,27,0,1,0,0,0,0
{8YQK94DN-MKZA3OA5-2960},2025-01-27 19:19:40,U0000,PC-5000,Logoff,192.168.1.20,Success,19,0,27,0,1,0,0,0,1
{61I2HGJ1-1YEDWB2B-NE6L},2025-01-28 07:53:57,U0000,PC-5000,Logon,192.168.1.20,Success,7,1,28,0,1,0,0,0,0
{H25NSJF6-78K52QC1-IYYO},2025-01-28 19:26:11,U0000,PC-5000,Logoff,192.168.1.20,Success,19,1,28,0,1,0,0,0,1
{UDOJEN0J-NWNYQW7L-VXWQ},2025-01-29 07:54:51,U0000,PC-5000,Logon,192.168.1.20,Success,7,2,29,0,1,0,0,0,0
{XEBB9EIT-NN8ZTV05-X4W7},2025-01-29 19:44:19,U0000,PC-5000,Logoff,192.168.1.20,Success,19,2,29,0,1,0,0,0,1
{YHQIN9N6-XCJ883DH-X8BM},2025-01-30 07:17:02,U0000,PC-5000,Logon,192.168.1.20,Success,7,3,30,0,1,0,0,0,0
{UC1HH5LF-6A4FEJGX-AA2I},2025-01-30 19:08:50,U0000,PC-5000,Logoff,192.168.1.20,Success,19,3,30,0,1,0,0,0,1
{GB0S0R2S-DS8B25SQ-8CRO},2025-01-31 07:20:01,U0000,PC-5000,Logon,192.168.1.20,Success,7,4,31,0,1,0,0,0,0
{R6CCVCJW-TL9TQVDZ-4X1Z},2025-01-31 19:43:06,U0000,PC-5000,Logoff,192.168.1.20,Success,19,4,31,0,1,0,0,0,1
{MQODPXNF-7C3DD03U-VULE},2025-02-03 07:14:26,U0000,PC-5000,Logon,192.168.1.20,Success,7,0,3,0,1,0,0,0,0
{X15Z8VMU-HXID4N1U-3493},2025-02-03 19:22:55,U0000,PC-5000,Logoff,192.168.1.20,Success,19,0,3,0,1,0,0,0,1
{XA73JGZL-MA5UOFWB-0HPM},2025-02-04 07:39:43,U0000,PC-5000,Logon,192.168.1.20,Success,7,1,4,0,1,0,0,0,0
{Z1UDBFWY-JXRPJ1EP-KYRY},2025-02-04 19:23:19,U0000,PC-5000,Logoff,192.168.1.20,Success,19,1,4,0,1,0,0,0,1
{OVAKHEJL-A0GNZS43-C5BA},2025-02-05 07:02:14,U0000,PC-5000,Logon,192.168.1.20,Success,7,2,5,0,1,0,0,0,0
{5UUZPEAL-2W37D4IV-SOLM},2025-02-05 19:58:04,U0000,PC-5000,Logoff,192.168.1.20,Success,19,2,5,0,1,0,0,0,1
{GSES6M03-3IFHV1XG-1R11},2025-02-06 07:21:49,U0000,PC-5000,Logon,192.168.1.20,Success,7,3,6,0,1,0,0,0,0
{7UWW5WFC-PKJCSLQC-3C54},2025-02-06 19:28:43,U0000,PC-5000,Logoff,192.168.1.20,Success,19,3,6,0,1,0,0,0,1
{SQT26Q3X-LRFCD6MZ-SGIP},2025-02-07 07:39:38,U0000,PC-5000,Logon,192.168.1.20,Success,7,4,7,0,1,0,0,0,0
{SFNKOMV2-XCDYK0X6-5MUF},2025-02-07 19:28:33,U0000,PC-5000,Logoff,192.168.1.20,Success,19,4,7,0,1,0,0,0,1
{OV7LN23Y-30YSXPNN-GH8R},2025-02-10 07:44:42,U0000,PC-5000,Logon,192.168.1.20,Success,7,0,10,0,1,0,0,0,0
{FK2ST0SX-5WVFGYW6-ZBNZ},2025-02-10 19:14:08,U0000,PC-5000,Logoff,192.168.1.20,Success,19,0,10,0,1,0,0,0,1
{K0QTL3Q4-N89QKNS8-32EJ},2025-02-11 07:28:39,U0000,PC-5000,Logon,192.168.1.20,Success,7,1,11,0,1,0,0,0,0
{5TD44K1J-6FP8HQMA-BSI9},2025-02-11 19:41:30,U0000,PC-5000,Logoff,192.168.1.20,Success,19,1,11,0,1,0,0,0,1
{B74X2EK3-ZEZQACJ4-T0SE},2025-02-12 07:23:14,U0000,PC-5000,Logon,192.168.1.20,Success,7,2,12,0,1,0,0,0,0
{KBP2QD6V-ASIFPWIO-XD9C},2025-02-12 19:18:15,U0000,PC-5000,Logoff,192.168.1.20,Success,19,2,12,0,1,0,0,0,1
{S9TOQW9J-A2M0W10L-BT3G},2025-02-13 07:33:34,U0000,PC-5000,Logon,192.168.1.20,Success,7,3,13,0,1,0,0,0,0
{QZW3C1QK-BHB7S9TJ-1GM2},2025-02-13 19:49:43,U0000,PC-5000,Logoff,192.168.1.20,Success,19,3,13,0,1,0,0,0,1
{LEN606N9-RR7S20CV-3TLC},2025-01-15 08:55:41,U0001,PC-5001,Logon,192.168.1.21,Success,8,2,15,0,1,0,0,0,0
{LVPYMB5M-9J98CWN2-Y8FV},2025-01-15 19:42:18,U0001,PC-5001,Logoff,192.168.1.21,Success,19,2,15,0,1,0,0,0,1
{BC2NNUVY-8N1UTOXI-E0RN},2025-01-16 08:50:28,U0001,PC-5001,Logon,192.168.1.21,Success,8,3,16,0,1,0,0,0,0
