id,date,src_ip,dst_ip,dst_port,protocol,bytes_in,bytes_out,alert,user,hour,day_of_week,day_of_month,is_weekend,is_working_hours,is_late_night,upload_download_ratio,bytes_out_mb,is_large_upload,is_internal_dst,is_lateral_movement_protocol,user_id_mapped
{TOYNTVIR-9LZQOT31-T7RS},2025-01-15 10:46:38,192.168.1.20,8.8.4.4,443,HTTPS,51726,45370,,allison.hill,10,2,15,0,1,0,0.8771048002010555,0.04326820373535156,0,0,0,U0000
{7MEID1B3-PW20RSXY-BJOM},2025-01-15 12:10:44,192.168.1.20,1.1.1.1,443,HTTPS,78632,24166,,allison.hill,12,2,15,0,1,0,0.3073264405529485,0.023046493530273438,0,0,0,U0000
{C5IBDNPL-HADT1JHZ-TNUE},2025-01-15 10:48:00,192.168.1.20,8.8.4.4,443,HTTPS,49121,49598,,allison.hill,10,2,15,0,1,0,1.0096901591954726,0.04730033874511719,0,0,0,U0000
{DLWMKK6U-9QYD8FE5-08SB},2025-01-15 18:14:50,192.168.1.20,142.250.0.0,443,HTTPS,56043,40051,,allison.hill,18,2,15,0,1,0,0.7146349296980944,0.03819561004638672,0,0,0,U0000
{B5RPIEZN-EOR7ELBV-7NVT},2025-01-15 09:37:55,192.168.1.20,8.8.4.4,443,HTTPS,90404,40382,,allison.hill,9,2,15,0,1,0,0.44667883413528015,0.03851127624511719,0,0,0,U0000
{F93268I0-DS5941NQ-UMVC},2025-01-15 15:30:52,192.168.1.20,8.8.8.8,443,HTTPS,43300,7166,,allison.hill,15,2,15,0,1,0,0.1654927137941387,0.0068340301513671875,0,0,0,U0000
{I5OP8565-D32ZG3GP-9YS0},2025-01-15 13:33:55,192.168.1.20,172.217.0.0,443,HTTPS,20829,42623,,allison.hill,13,2,15,0,1,0,2.046231397023524,0.040648460388183594,0,0,0,U0000
{1H4BZU3H-3G2WCJC7-IG4M},2025-01-15 19:19:19,192.168.1.20,1.0.0.1,443,HTTPS,33228,40901,,allison.hill,19,2,15,0,1,0,1.2308826627343585,0.03900623321533203,0,0,0,U0000
{AG2X1PHH-6PLS527N-P8AP},2025-01-15 07:25:54,192.168.1.20,142.250.0.0,443,HTTPS,78536,22856,,allison.hill,7,2,15,0,1,0,0.29102206603257064,0.02179718017578125,0,0,0,U0000
{Z6IHOX85-X69IY9X2-CHX8},2025-01-15 12:32:26,192.168.1.20,8.8.4.4,443,HTTPS,42632,12297,,allison.hill,12,2,15,0,1,0,0.2884385335303638,0.011727333068847656,0,0,0,U0000
{D5MYS771-NVXY0EA7-W2H9},2025-01-15 19:35:52,192.168.1.20,1.0.0.1,443,HTTPS,93359,28077,,allison.hill,19,2,15,0,1,0,0.30073907455012855,0.02677631378173828,0,0,0,U0000
{9LI0FNJ7-I1BZ5H00-GV65},2025-01-15 07:10:17,192.168.1.20,1.0.0.1,443,HTTPS,66123,20551,,allison.hill,7,2,15,0,1,0,0.3107948702437844,0.019598960876464844,0,0,0,U0000
{M3VGCJMK-1S1PVJG7-F5FS},2025-01-15 07:49:56,192.168.1.20,142.250.0.0,443,HTTPS,84568,18430,,allison.hill,7,2,15,0,1,0,0.2179285553808133,0.017576217651367188,0,0,0,U0000
{MT9J74YQ-QN0P1D3W-XWBB},2025-01-15 09:18:07,192.168.1.20,8.8.4.4,443,HTTPS,14159,21331,,allison.hill,9,2,15,0,1,0,1.5064265536723165,0.02034282684326172,0,0,0,U0000
{MD4E17VE-2IDJIPC7-QDC7},2025-01-15 14:22:24,192.168.1.20,8.8.4.4,443,HTTPS,69524,42794,,allison.hill,14,2,15,0,1,0,0.6155195972671701,0.04081153869628906,0,0,0,U0000
{Z06HCB44-OBZQXR8V-HVLI},2025-01-15 12:05:45,192.168.1.20,8.8.8.8,443,HTTPS,39846,26431,,allison.hill,12,2,15,0,1,0,0.6633121690466033,0.025206565856933594,0,0,0,U0000
{HFY19EOH-0O56FTXX-YR12},2025-01-15 16:09:35,192.168.1.20,172.217.0.0,443,HTTPS,112203,33154,,allison.hill,16,2,15,0,1,0,0.2954796620441339,0.03161811828613281,0,0,0,U0000
{WPMI4OQS-UANFI4LU-NDS9},2025-01-15 12:06:05,192.168.1.20,1.0.0.1,443,HTTPS,97394,41403,,allison.hill,12,2,15,0,1,0,0.42510395810873247,0.03948497772216797,0,0,0,U0000
{0KXVFKHP-IEJWWDKW-5RPP},2025-01-15 19:18:40,192.168.1.20,1.0.0.1,443,HTTPS,72181,12764,,allison.hill,19,2,15,0,1,0,0.17683078883932282,0.012172698974609375,0,0,0,U0000
{3FM7F81S-0IYRO613-YLUV},2025-01-15 14:20:03,192.168.1.20,1.0.0.1,443,HTTPS,40368,21345,,allison.hill,14,2,15,0,1,0,0.5287473061012162,0.020356178283691406,0,0,0,U0000
