id,timestamp,user,pc,event,process,parent_process,command_line,integrity_level
{Q4M5UKUM-TQMZ46YP-8VKD},2025-01-15T16:28:01Z,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium
{FPJAMXFP-WHXQXTHD-YXG5},2025-01-15T15:10:24Z,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium
{I15BWD5T-MU8B961Y-9S93},2025-01-15T12:56:18Z,allison.hill,PC-5000,process_start,notepad.exe,explorer.exe,notepad.exe,medium
{O8BHKKT7-MW5X9AIJ-UNXM},2025-01-15T08:24:33Z,allison.hill,PC-5000,process_start,acrobat.exe,explorer.exe,acrobat.exe,medium
{5AEQDOF4-2HI0VH5Z-C6VG},2025-01-15T08:38:24Z,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium
{157DGFZL-0BTXXUIB-FS1Q},2025-01-15T07:53:01Z,allison.hill,PC-5000,process_start,acrobat.exe,explorer.exe,acrobat.exe,medium
{9GGDSHG1-KTC5XPMN-YFAF},2025-01-15T19:22:09Z,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium
{CKCPVJZD-HTJKQL6G-D5W6},2025-01-15T07:49:30Z,allison.hill,PC-5000,process_start,teams.exe,explorer.exe,teams.exe,medium
{EINDMFCV-8QSQNYCB-EGW5},2025-01-15T16:32:22Z,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium
{0CHNGR09-06FLQSTC-PVNJ},2025-01-15T16:56:50Z,allison.hill,PC-5000,process_start,outlook.exe,explorer.exe,outlook.exe,medium
{RLB2MCZ8-FTBZ712O-51D5},2025-01-15T18:43:42Z,allison.hill,PC-5000,process_start,firefox.exe,explorer.exe,firefox.exe,medium
{W1LZXIQ5-50QI4O8Z-6CJE},2025-01-15T11:41:09Z,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium
{5Y9NMOBL-SBYYO7UH-B97M},2025-01-16T18:14:45Z,allison.hill,PC-5000,process_start,word.exe,explorer.exe,word.exe,medium
{0VGGI5GN-F3VGZ9P7-M5S5},2025-01-16T13:11:13Z,allison.hill,PC-5000,process_start,word.exe,explorer.exe,word.exe,medium
{3AJQ6ZJU-YZJ0SK3C-85KD},2025-01-16T09:31:23Z,allison.hill,PC-5000,process_start,excel.exe,explorer.exe,excel.exe,medium
{UEXH0GWV-F038NVZR-USPS},2025-01-16T18:15:17Z,allison.hill,PC-5000,process_start,notepad.exe,explorer.exe,notepad.exe,medium
