id,date,user,pc,filename,activity,to_removable_media,from_removable_media,content,size
{3YOSREBK-NKV25UKP-KSZ3},01/15/2025 17:38:28,U0000,PC-5000,/shared/documents/rate.csv,File Write,False,False,Just military building different full open discover detail audience piece director town.,29881
{SRNYZRBG-WVNG0GTP-F48T},01/15/2025 19:36:00,U0000,PC-5000,/shared/resources/trade.txt,File Write,False,False,Audience draw protect Democrat car very number line six space couple best.,179073
{NWLZA0WU-OWJ09IOG-LACC},01/15/2025 14:15:27,U0000,PC-5000,/shared/resources/lawyer.txt,File Open,False,False,Interest level rock pull worker better I fund technology eat couple large.,134403
{B5G9MEGT-IZN1TTKN-4E45},01/15/2025 08:56:59,U0000,PC-5000,/company/policies/knowledge.doc,File Open,False,False,Everything economic type kitchen technology nearly anything yourself structure.,16574
{6WDERU2P-COT0NZ2G-8HPI},01/15/2025 11:30:55,U0000,PC-5000,/shared/templates/better.csv,File Write,False,False,Coach magazine degree husband around her world enter six lawyer.,123102
{EQ4CYYF6-6X7VJ10P-KTNO},01/15/2025 12:03:09,U0000,PC-5000,/shared/resources/land.doc,File Open,False,False,Product main couple design around save article finish anyone live try most arm meet surface.,104263
{KZKA744D-18JQJ0AR-SG8F},01/15/2025 17:59:42,U0000,PC-5000,/shared/templates/authority.pdf,File Open,False,False,Attack technology identify walk now often always bank price north first end prove fire enter capital.,161963
{26XF9ZJB-MERNTP3C-ZBAM},01/15/2025 18:42:43,U0000,PC-5000,/shared/documents/quite.docx,File Write,False,False,Lead upon very act perform none beyond Mrs media car give.,127060
{JVIH88SU-KE8XO7I8-8MMS},01/15/2025 08:54:07,U0000,PC-5000,/company/policies/authority.docx,File Copy,False,False,Hard citizen street region particularly would pressure account stage federal.,169852
{8HS10T7R-XTJN7LDH-TIN9},01/16/2025 15:30:23,U0000,PC-5000,/shared/resources/record.pdf,File Open,False,False,Voice care break blood network evening painting response.,87112
{FOKLBQ38-QI5XCPGB-K0UC},01/16/2025 17:19:54,U0000,PC-5000,/shared/templates/Democrat.docx,File Open,False,False,Measure economy traditional anything plant stop analysis four capital woman claim.,162516
{FXQP10VW-AZKSWNVM-O4D0},01/16/2025 14:36:14,U0000,PC-5000,/hr/policies/letter.txt,File Write,False,False,Relationship night born war real chance along hard need involve among half value win always.,41840
{LPHUIVL9-YH8U9EWO-USOX},01/16/2025 15:11:35,U0000,PC-5000,/hr/onboarding/help.pptx,File Write,False,False,Radio project government nice themselves wind see understand door class.,5561
{JVNKYGO3-U1XMM1BH-3TXZ},01/16/2025 12:41:25,U0000,PC-5000,/shared/documents/such.xlsx,File Copy,False,False,Thing agent say forward us soon ten specific environment.,84141
{WZ5SMI96-IDV1G0FQ-76SH},01/16/2025 19:29:23,U0000,PC-5000,/shared/documents/store.xlsx,File Write,False,False,Him although likely current truth glass star the.,196163
{7DXD9QDA-KG8RHCLQ-9DWC},01/16/2025 07:31:37,U0000,PC-5000,/shared/documents/dog.docx,File Open,False,False,Process huge everything attorney significant go meeting.,132581
{5DI4YGE3-VJAD3I2X-FMW5},01/17/2025 17:33:00,U0000,PC-5000,/hr/policies/respond.doc,File Open,False,False,Former agree theory end oil worker although others generation skill job worker break tonight couple.,198044
{IQPKNS75-LU6NYT3H-OL1L},01/17/2025 08:37:09,U0000,PC-5000,/company/announcements/another.docx,File Write,False,False,Ability understand Mrs rest score provide hair attorney professional form finish summer rest.,70878
{0YVZVASI-754NPUT2-UTCN},01/17/2025 07:59:40,U0000,PC-5000,/shared/documents/first.xlsx,File Write,False,False,Finally impact I fast camera inside wait quality total past feeling nature a expert.,140094
{5095YYSW-ZNQ6KTP4-QXL6},01/17/2025 13:43:39,U0000,PC-5000,/company/policies/law.pptx,File Copy,False,False,Parent focus kid put memory soldier where save probably exist professional people behavior weight dog financial.,151487
{B3SG02I6-UK1Y7ZPU-OMBI},01/17/2025 14:31:27,U0000,PC-5000,/hr/policies/sure.doc,File Write,False,False,Challenge animal worker particularly shoulder lay though offer responsibility himself.,122207
{1F997EIA-L2YV2S59-917V},01/17/2025 15:57:23,U0000,PC-5000,/company/policies/instead.doc,File Copy,False,False,Challenge reach throughout team those sing despite sound receive let.,196003
{BSH3BVUC-ZV0PGXC0-ILWU},01/17/2025 12:21:49,U0000,PC-5000,/company/announcements/onto.pdf,File Open,False,False,True building card let most next fish sense kind spring.,163135
{TOEZ1FVW-3NJP3948-JPFZ},01/17/2025 14:19:57,U0000,PC-5000,/shared/documents/wait.pptx,File Write,False,False,Interview trade knowledge city technology late seem style everyone sing machine dream key require.,148118
{VFXC6I4N-4PCYWSEE-JMV2},01/17/2025 18:49:25,U0000,PC-5000,/shared/templates/easy.xlsx,File Copy,False,False,From throw ball character him check degree increase former letter artist.,7840
{79FCDTXB-B7N5WRK7-RZ6K},01/20/2025 18:56:02,U0000,PC-5000,/hr/onboarding/there.txt,File Copy,False,False,Hope show watch affect thing offer local wall fear hope through structure Mrs.,160446
