id,timestamp,action,src_ip,dst_ip,dst_port,protocol,bytes_out,threat,user
{IIZOHM95-AVELO3AH-9A11},2025-01-15T08:56:08Z,allow,192.168.1.20,172.217.0.0,53,TCP,39397,,allison.hill
{XT3NM27L-IZCN61UK-QP0X},2025-01-15T13:36:01Z,allow,192.168.1.20,8.8.8.8,80,TCP,26584,,allison.hill
{8K8ZGCK0-BH18PRNC-SB3V},2025-01-15T19:32:35Z,allow,192.168.1.20,172.217.0.0,53,TCP,33665,,allison.hill
{M208EUZ3-4N16N460-DI6W},2025-01-15T14:12:23Z,allow,192.168.1.20,172.217.0.0,80,TCP,46595,,allison.hill
{EYU28WBA-8DSN1UGZ-NCNF},2025-01-15T15:52:42Z,allow,192.168.1.20,1.1.1.1,80,TCP,35828,,allison.hill
{2KNWJ2OR-8X2EJLJ8-MC1U},2025-01-15T18:41:53Z,allow,192.168.1.20,172.217.0.0,53,TCP,6073,,allison.hill
{ZQC4ZUEZ-AXD23197-5BTI},2025-01-15T16:07:37Z,allow,192.168.1.20,1.1.1.1,53,TCP,14418,,allison.hill
{GFE54CD6-AXLP67R4-HDD9},2025-01-15T19:15:24Z,allow,192.168.1.20,8.8.8.8,53,TCP,23207,,allison.hill
{7YL7AFC7-MXCRBY26-6V5Q},2025-01-15T17:07:18Z,allow,192.168.1.20,1.1.1.1,80,TCP,19548,,allison.hill
{NVWZGA94-Z4HJTF1K-UKD9},2025-01-15T12:20:51Z,allow,192.168.1.20,8.8.8.8,80,TCP,3083,,allison.hill
{6HL3LE96-IKAJ0W1Z-E4DQ},2025-01-15T18:38:48Z,allow,192.168.1.20,172.217.0.0,53,TCP,52902,,allison.hill
{BKJCCIX1-KGPPOKV0-WXHM},2025-01-15T18:26:21Z,block,192.168.1.20,219.76.60.19,135,TCP,4864,geo_blocked,allison.hill
{9KAVR4HC-LDC629VI-9F3H},2025-01-15T13:46:29Z,allow,192.168.1.20,8.8.8.8,80,TCP,51986,,allison.hill
{B97KV712-DQVJMAL4-15K2},2025-01-15T16:57:53Z,allow,192.168.1.20,8.8.8.8,53,TCP,46046,,allison.hill
{5VF0T46D-8GN73EBM-WW5U},2025-01-15T18:29:53Z,allow,192.168.1.20,172.217.0.0,80,TCP,27250,,allison.hill
{WAFFA2HT-VZVDYQIY-QSG5},2025-01-15T12:46:44Z,allow,192.168.1.20,8.8.8.8,53,TCP,30480,,allison.hill
{06O191C3-QC8ISVO2-39B4},2025-01-15T08:43:32Z,allow,192.168.1.20,8.8.8.8,80,TCP,32236,,allison.hill
{LBUG395A-UFBUY5FE-4HU3},2025-01-15T09:49:10Z,allow,192.168.1.20,1.1.1.1,80,TCP,18904,,allison.hill
{P3WS1Z48-RH1D3PC0-2LX8},2025-01-15T13:32:39Z,allow,192.168.1.20,1.1.1.1,80,TCP,9001,,allison.hill
{AA58IOVT-34CHGBQ4-XXG4},2025-01-15T17:04:13Z,allow,192.168.1.20,8.8.8.8,53,TCP,2623,,allison.hill
{98J4HY51-RTV1MAT8-RK7K},2025-01-15T07:13:04Z,block,192.168.1.20,110.94.15.135,135,TCP,2435,policy_violation,allison.hill
{ZBTE15KU-SLST1E8A-QGID},2025-01-15T12:09:10Z,allow,192.168.1.20,1.1.1.1,80,TCP,27369,,allison.hill
{VO17XMBT-TCR4UZY9-PSGF},2025-01-15T08:08:45Z,allow,192.168.1.20,8.8.8.8,80,TCP,7121,,allison.hill
{0W35VSTN-KQH2LE6U-3NUU},2025-01-15T12:49:59Z,allow,192.168.1.20,8.8.8.8,443,TCP,44691,,allison.hill
{MV9Q4ZPT-O45FG723-S6DD},2025-01-15T09:33:25Z,allow,192.168.1.20,172.217.0.0,53,TCP,14437,,allison.hill
{DMPAWBFY-FPJVOJX0-INM7},2025-01-15T11:39:08Z,allow,192.168.1.20,1.1.1.1,443,TCP,43812,,allison.hill
{82VQQKRW-JVH3AX0B-GGO2},2025-01-15T16:31:03Z,block,192.168.1.20,95.198.29.249,135,TCP,4028,,allison.hill
{K0ICUT2F-SV6MPDME-T0W0},2025-01-15T10:08:55Z,block,192.168.1.20,91.2.20.19,3389,TCP,1608,policy_violation,allison.hill
{33R5UQQB-XMZ71T4P-1F4M},2025-01-15T12:20:02Z,allow,192.168.1.20,8.8.8.8,53,TCP,44352,,allison.hill
{ZCDL9CUZ-D8OKUGZZ-WJZA},2025-01-15T12:09:29Z,allow,192.168.1.20,8.8.8.8,80,TCP,5911,,allison.hill
{51L01I4C-OPAHL9W6-TV4U},2025-01-15T12:20:49Z,allow,192.168.1.20,8.8.8.8,443,TCP,31971,,allison.hill
{CKOYXOOR-AO48J95Y-9Y1O},2025-01-15T07:36:37Z,allow,192.168.1.20,8.8.8.8,53,TCP,47354,,allison.hill
{94MY3XE5-UQ8AWYNR-ATO5},2025-01-15T08:53:47Z,allow,192.168.1.20,172.217.0.0,443,TCP,57568,,allison.hill
{KFALCSAZ-P84H71NL-Z1MV},2025-01-15T17:56:42Z,allow,192.168.1.20,1.1.1.1,443,TCP,47839,,allison.hill
{W5EWUI4L-TIK3SXD9-BBPU},2025-01-15T13:05:48Z,allow,192.168.1.20,8.8.8.8,53,TCP,12100,,allison.hill
{7WK6N8XI-BM8G1AHA-2SJ0},2025-01-15T13:55:07Z,allow,192.168.1.20,1.1.1.1,53,TCP,3719,,allison.hill
{6P8PBBPB-KZ4VFXWZ-UPQP},2025-01-15T10:21:06Z,allow,192.168.1.20,1.1.1.1,443,TCP,39127,,allison.hill
{GDI5ET2J-XTWH49RU-XSWM},2025-01-16T07:28:06Z,allow,192.168.1.20,172.217.0.0,443,TCP,8588,,allison.hill
{M2T8IA09-WEBXHQ7A-1ZGY},2025-01-16T18:31:30Z,allow,192.168.1.20,1.1.1.1,53,TCP,39058,,allison.hill
{N46M6BRR-VCIKHVC9-9HBK},2025-01-16T13:49:58Z,allow,192.168.1.20,8.8.8.8,80,TCP,52104,,allison.hill
{KJI9K6EF-UVIQ8J4V-8JVK},2025-01-16T16:51:04Z,allow,192.168.1.20,8.8.8.8,443,TCP,51947,,allison.hill
{4RPOCZVF-IFKHDWKJ-MSQ2},2025-01-16T11:56:24Z,block,192.168.1.20,75.106.237.56,135,TCP,3001,geo_blocked,allison.hill
{U9KXZWBY-8CICOVK3-2US5},2025-01-16T09:45:04Z,allow,192.168.1.20,8.8.8.8,53,TCP,27721,,allison.hill
