id,date,user,pc,activity,source_ip,status
{WIRE8QJN-V8Z2FLU7-U6N7},01/15/2025 07:53:01,U0000,PC-5000,Logon,192.168.1.20,Success
{V3IZKY22-UBTXCXAP-RPN6},01/15/2025 19:12:04,U0000,PC-5000,Logoff,192.168.1.20,Success
{FGSXW71Q-3VLI7KQ1-UYMR},01/16/2025 07:29:45,U0000,PC-5000,Logon,192.168.1.20,Success
{RMJKV5US-GIOTIRZQ-AKOI},01/16/2025 19:20:11,U0000,PC-5000,Logoff,192.168.1.20,Success
{NTM9TMQL-IZL08YG0-JV1V},01/17/2025 07:42:37,U0000,PC-5000,Logon,192.168.1.20,Success
{GIGATJ9T-ZE5R5UQP-GB7R},01/17/2025 19:06:53,U0000,PC-5000,Logoff,192.168.1.20,Success
{WBFUK9E1-V2ISQP49-KWV0},01/20/2025 07:04:36,U0000,PC-5000,Logon,192.168.1.20,Success
{WJCITFOY-QBKK4CIJ-2V2H},01/20/2025 19:48:13,U0000,PC-5000,Logoff,192.168.1.20,Success
{IFJFC2V3-7PQKOJTP-V60V},01/21/2025 07:07:34,U0000,PC-5000,Logon,192.168.1.20,Success
{IY4VA13U-1GSPK9P3-8QOL},01/21/2025 19:01:05,U0000,PC-5000,Logoff,192.168.1.20,Success
{FORXO1BD-JE153A5Q-BSWR},01/22/2025 07:06:54,U0000,PC-5000,Logon,192.168.1.20,Success
{BJEK5RBW-2ZLAOI4E-8XF7},01/22/2025 19:28:48,U0000,PC-5000,Logoff,192.168.1.20,Success
{ZORQQFGV-0EC14M2J-A04U},01/23/2025 07:18:32,U0000,PC-5000,Logon,192.168.1.20,Success
{5QRL1N75-9IN4OLR6-N92X},01/23/2025 19:42:31,U0000,PC-5000,Logoff,192.168.1.20,Success
{8E8LD4D6-AF58C2JW-OCLY},01/24/2025 07:09:31,U0000,PC-5000,Logon,192.168.1.20,Success
{8W5RTWIY-KID91ZDF-KBLC},01/24/2025 19:34:24,U0000,PC-5000,Logoff,192.168.1.20,Success
{OYGGVNYR-UIWQY6QK-TC89},01/27/2025 07:15:33,U0000,PC-5000,Logon,192.168.1.20,Success
{8YQK94DN-MKZA3OA5-2960},01/27/2025 19:19:40,U0000,PC-5000,Logoff,192.168.1.20,Success
{61I2HGJ1-1YEDWB2B-NE6L},01/28/2025 07:53:57,U0000,PC-5000,Logon,192.168.1.20,Success
{H25NSJF6-78K52QC1-IYYO},01/28/2025 19:26:11,U0000,PC-5000,Logoff,192.168.1.20,Success
{UDOJEN0J-NWNYQW7L-VXWQ},01/29/2025 07:54:51,U0000,PC-5000,Logon,192.168.1.20,Success
{XEBB9EIT-NN8ZTV05-X4W7},01/29/2025 19:44:19,U0000,PC-5000,Logoff,192.168.1.20,Success
{YHQIN9N6-XCJ883DH-X8BM},01/30/2025 07:17:02,U0000,PC-5000,Logon,192.168.1.20,Success
{UC1HH5LF-6A4FEJGX-AA2I},01/30/2025 19:08:50,U0000,PC-5000,Logoff,192.168.1.20,Success
{GB0S0R2S-DS8B25SQ-8CRO},01/31/2025 07:20:01,U0000,PC-5000,Logon,192.168.1.20,Success
{R6CCVCJW-TL9TQVDZ-4X1Z},01/31/2025 19:43:06,U0000,PC-5000,Logoff,192.168.1.20,Success
{MQODPXNF-7C3DD03U-VULE},02/03/2025 07:14:26,U0000,PC-5000,Logon,192.168.1.20,Success
{X15Z8VMU-HXID4N1U-3493},02/03/2025 19:22:55,U0000,PC-5000,Logoff,192.168.1.20,Success
{XA73JGZL-MA5UOFWB-0HPM},02/04/2025 07:39:43,U0000,PC-5000,Logon,192.168.1.20,Success
{Z1UDBFWY-JXRPJ1EP-KYRY},02/04/2025 19:23:19,U0000,PC-5000,Logoff,192.168.1.20,Success
{OVAKHEJL-A0GNZS43-C5BA},02/05/2025 07:02:14,U0000,PC-5000,Logon,192.168.1.20,Success
{5UUZPEAL-2W37D4IV-SOLM},02/05/2025 19:58:04,U0000,PC-5000,Logoff,192.168.1.20,Success
{GSES6M03-3IFHV1XG-1R11},02/06/2025 07:21:49,U0000,PC-5000,Logon,192.168.1.20,Success
{7UWW5WFC-PKJCSLQC-3C54},02/06/2025 19:28:43,U0000,PC-5000,Logoff,192.168.1.20,Success
{SQT26Q3X-LRFCD6MZ-SGIP},02/07/2025 07:39:38,U0000,PC-5000,Logon,192.168.1.20,Success
{SFNKOMV2-XCDYK0X6-5MUF},02/07/2025 19:28:33,U0000,PC-5000,Logoff,192.168.1.20,Success
{OV7LN23Y-30YSXPNN-GH8R},02/10/2025 07:44:42,U0000,PC-5000,Logon,192.168.1.20,Success
{FK2ST0SX-5WVFGYW6-ZBNZ},02/10/2025 19:14:08,U0000,PC-5000,Logoff,192.168.1.20,Success
{K0QTL3Q4-N89QKNS8-32EJ},02/11/2025 07:28:39,U0000,PC-5000,Logon,192.168.1.20,Success
{5TD44K1J-6FP8HQMA-BSI9},02/11/2025 19:41:30,U0000,PC-5000,Logoff,192.168.1.20,Success
{B74X2EK3-ZEZQACJ4-T0SE},02/12/2025 07:23:14,U0000,PC-5000,Logon,192.168.1.20,Success
{KBP2QD6V-ASIFPWIO-XD9C},02/12/2025 19:18:15,U0000,PC-5000,Logoff,192.168.1.20,Success
{S9TOQW9J-A2M0W10L-BT3G},02/13/2025 07:33:34,U0000,PC-5000,Logon,192.168.1.20,Success
{QZW3C1QK-BHB7S9TJ-1GM2},02/13/2025 19:49:43,U0000,PC-5000,Logoff,192.168.1.20,Success
{LEN606N9-RR7S20CV-3TLC},01/15/2025 08:55:41,U0001,PC-5001,Logon,192.168.1.21,Success
{LVPYMB5M-9J98CWN2-Y8FV},01/15/2025 19:42:18,U0001,PC-5001,Logoff,192.168.1.21,Success
{BC2NNUVY-8N1UTOXI-E0RN},01/16/2025 08:50:28,U0001,PC-5001,Logon,192.168.1.21,Success
