id,timestamp,src_ip,dst_ip,dst_port,protocol,bytes_in,bytes_out,alert,user
{TOYNTVIR-9LZQOT31-T7RS},2025-01-15T10:46:38Z,192.168.1.20,8.8.4.4,443,HTTPS,51726,45370,,allison.hill
{7MEID1B3-PW20RSXY-BJOM},2025-01-15T12:10:44Z,192.168.1.20,1.1.1.1,443,HTTPS,78632,24166,,allison.hill
{C5IBDNPL-HADT1JHZ-TNUE},2025-01-15T10:48:00Z,192.168.1.20,8.8.4.4,443,HTTPS,49121,49598,,allison.hill
{DLWMKK6U-9QYD8FE5-08SB},2025-01-15T18:14:50Z,192.168.1.20,142.250.0.0,443,HTTPS,56043,40051,,allison.hill
{B5RPIEZN-EOR7ELBV-7NVT},2025-01-15T09:37:55Z,192.168.1.20,8.8.4.4,443,HTTPS,90404,40382,,allison.hill
{F93268I0-DS5941NQ-UMVC},2025-01-15T15:30:52Z,192.168.1.20,8.8.8.8,443,HTTPS,43300,7166,,allison.hill
{I5OP8565-D32ZG3GP-9YS0},2025-01-15T13:33:55Z,192.168.1.20,172.217.0.0,443,HTTPS,20829,42623,,allison.hill
{1H4BZU3H-3G2WCJC7-IG4M},2025-01-15T19:19:19Z,192.168.1.20,1.0.0.1,443,HTTPS,33228,40901,,allison.hill
{AG2X1PHH-6PLS527N-P8AP},2025-01-15T07:25:54Z,192.168.1.20,142.250.0.0,443,HTTPS,78536,22856,,allison.hill
{Z6IHOX85-X69IY9X2-CHX8},2025-01-15T12:32:26Z,192.168.1.20,8.8.4.4,443,HTTPS,42632,12297,,allison.hill
{D5MYS771-NVXY0EA7-W2H9},2025-01-15T19:35:52Z,192.168.1.20,1.0.0.1,443,HTTPS,93359,28077,,allison.hill
{9LI0FNJ7-I1BZ5H00-GV65},2025-01-15T07:10:17Z,192.168.1.20,1.0.0.1,443,HTTPS,66123,20551,,allison.hill
{M3VGCJMK-1S1PVJG7-F5FS},2025-01-15T07:49:56Z,192.168.1.20,142.250.0.0,443,HTTPS,84568,18430,,allison.hill
{MT9J74YQ-QN0P1D3W-XWBB},2025-01-15T09:18:07Z,192.168.1.20,8.8.4.4,443,HTTPS,14159,21331,,allison.hill
{MD4E17VE-2IDJIPC7-QDC7},2025-01-15T14:22:24Z,192.168.1.20,8.8.4.4,443,HTTPS,69524,42794,,allison.hill
{Z06HCB44-OBZQXR8V-HVLI},2025-01-15T12:05:45Z,192.168.1.20,8.8.8.8,443,HTTPS,39846,26431,,allison.hill
{HFY19EOH-0O56FTXX-YR12},2025-01-15T16:09:35Z,192.168.1.20,172.217.0.0,443,HTTPS,112203,33154,,allison.hill
{WPMI4OQS-UANFI4LU-NDS9},2025-01-15T12:06:05Z,192.168.1.20,1.0.0.1,443,HTTPS,97394,41403,,allison.hill
{0KXVFKHP-IEJWWDKW-5RPP},2025-01-15T19:18:40Z,192.168.1.20,1.0.0.1,443,HTTPS,72181,12764,,allison.hill
{3FM7F81S-0IYRO613-YLUV},2025-01-15T14:20:03Z,192.168.1.20,1.0.0.1,443,HTTPS,40368,21345,,allison.hill
{T9HXQSRI-BOH8TQ1R-LQQA},2025-01-15T11:24:45Z,192.168.1.20,142.250.0.0,443,HTTPS,93162,39846,,allison.hill
